user_id,id_contact,age,spoke_with_agent,application_ts,documents_send,documents_recieved,flag
0947abecd9b9ee653139dcafaf48e243,718951688,28,1,2019-07-19 16:07:25 UTC,0,0,0
baaa6faf65e6a37630e43520d061a0aa,721632137,29,1,2019-07-22 16:02:23 UTC,0,0,0
856d1cf0187a188a40f9749fdd28cc3d,718659195,20,0,2019-07-19 07:09:59 UTC,1,0,0
87f07128d407c5b0b4ce154d2202d4e9,719838762,41,1,2019-07-20 12:31:32 UTC,0,0,0
f822a4d35abadb48fb35d7829d8470b1,719324076,22,1,2019-07-20 06:55:21 UTC,0,0,0
2fce19bc21dfe3d89f149047b0ef8637,718957000,27,1,2019-07-19 16:38:02 UTC,0,0,0
eb106524e9a456e255041c69bb5778cc,719876679,35,1,2019-07-20 13:34:28 UTC,0,0,0
300651e9502dc76204377e9fce2734dc,721134206,29,1,2019-07-22 04:47:07 UTC,0,0,0
18e49cef40df0b2ae76a470fe13d5303,718880266,40,1,2019-07-19 12:54:33 UTC,0,0,0
5022c6ff49cbbc4e24d00d09be7a9291,722020100,46,0,2019-07-23 13:57:10 UTC,0,0,0
e4957ce9e965cd819d9dc7bd47731141,720602907,27,0,2019-07-21 09:50:26 UTC,0,0,0
14e7401c2e11d4a55956741c22e5cfc7,719837149,27,0,2019-07-20 12:27:28 UTC,0,0,0
357c3ef2129ef4bea39c5eb0cc9f80c4,721466888,34,1,2019-07-22 08:59:18 UTC,0,0,0
04da95502fdc8818c9bbee72509c86b3,719833128,24,0,2019-07-20 12:18:04 UTC,0,0,0
2e5751308ec7efeb767faf5f2cd4df88,719815830,22,1,2019-07-20 11:37:35 UTC,0,0,0
0795d05cb094d93fd3292c3dd38f70cf,720387230,44,1,2019-07-21 07:34:28 UTC,1,1,1
2a9c84b69483370eb40a5cf3db8efe5d,721362458,46,1,2019-07-22 08:13:07 UTC,0,0,0
82c4cef05c3816d6e08873dc476a010d,721699315,23,1,2019-07-22 18:39:57 UTC,0,0,0
f1f849611717e5936da3e69ff3846b66,719395446,46,1,2019-07-20 07:56:57 UTC,0,0,0
591cc04dc168f1b940626e5062011375,718810340,21,1,2019-07-19 10:30:20 UTC,0,0,0
09070fb8026fefd926fb9883e9e14f94,720926553,58,0,2019-07-21 14:00:47 UTC,1,1,1
01e8df098539b67308fcac978547de0a,718565201,21,1,2019-07-19 02:29:24 UTC,0,0,0
4ef3d4ec55eb81559747802dbf27b57a,718697074,42,0,2019-07-19 08:08:10 UTC,0,0,0
26f765f047cb39d87f6ef52807ab254e,718764442,31,1,2019-07-19 08:56:04 UTC,0,0,0
07593636fc7c6bb976cbc2dbc04f9e33,718986157,21,1,2019-07-19 17:06:33 UTC,0,0,0
3538a5dfe38768996cb7a0f2d89f4711,720962399,29,1,2019-07-21 16:37:22 UTC,0,0,0
2e492300abbc49af293c0cfcb4709b87,718780388,41,1,2019-07-19 09:29:34 UTC,0,0,0
95e9ff56b0e11b1bfd72b05ca87969b2,718885645,31,0,2019-07-19 13:08:02 UTC,0,0,0
31d492d6b0308156436994aabc0e9ac3,721126110,35,1,2019-07-22 04:09:08 UTC,0,0,0
3c398954e5059f8ce845d7a57bf46b62,720000566,32,0,2019-07-20 17:30:20 UTC,0,0,0
ae7200689a9e9fecbcb04a31460b4324,722010368,31,1,2019-07-23 12:54:30 UTC,0,0,0
0f25695e5783319a8eeef191abbe77c3,720566277,32,0,2019-07-21 08:30:52 UTC,0,0,0
686c4ed28bbac7bc1626a3d42dcd63a0,720914201,26,1,2019-07-21 13:25:49 UTC,1,0,0
8dd19f2042e26ec00d87c0409ce53ae4,720247274,50,1,2019-07-21 05:25:37 UTC,0,0,0
bb6eabf12a921037d60b03d59a5d8b3c,721465441,28,1,2019-07-22 08:54:21 UTC,0,0,0
7c8288faab97b5063d1c6c77e78281fe,722035480,35,1,2019-07-23 16:30:57 UTC,1,1,1
153fdaf4e0b2ba1dc21424a0b81de054,722109250,26,1,2019-07-23 18:28:26 UTC,0,0,0
d89b84bfe9162074dba9a457b1d99dd9,718867505,25,1,2019-07-19 12:25:27 UTC,0,0,0
54256c575a45d5c2b6d3471fbc9fe15d,719388476,27,0,2019-07-20 07:44:53 UTC,0,0,0
28df2b03f9e0eaf5f1e6dda0405a03c0,718951202,30,0,2019-07-19 16:04:59 UTC,0,0,0
5b12b79e973e78afa5479c2938f5614e,718881690,37,1,2019-07-19 12:58:11 UTC,0,0,0
1c446e64c02c4bb0da38f6022f403b63,721616253,22,1,2019-07-22 13:56:51 UTC,0,0,0
f653f915bac62d50eec230746b94feae,721960710,24,1,2019-07-23 08:37:07 UTC,0,0,0
4ae4aee1c3d6659771974cdb0a4cbf6c,721602425,29,1,2019-07-22 12:54:00 UTC,0,0,0
97f43357d0ad083540cec7d1a1af0ba5,721989569,27,1,2019-07-23 10:55:25 UTC,1,0,0
51450cba461ce015027be56f2ad4e6a1,721837900,26,1,2019-07-23 05:27:05 UTC,0,0,0
d4a417a51f41acaef7a1bf9847ee5888,721624208,30,1,2019-07-22 14:49:16 UTC,0,0,0
c4526533a82ad93259393fb4407fab3f,722109902,30,0,2019-07-23 19:04:05 UTC,0,0,0
7eabe0d5f2c3875c740be9692296758e,720004885,27,0,2019-07-20 19:21:30 UTC,0,0,0
548f102e26c1b2d8b94149d810a704f8,721460347,32,1,2019-07-22 08:39:13 UTC,0,0,0
a2f9c5b76b85a5034288d394318be4ba,721039937,48,1,2019-07-21 18:03:08 UTC,0,0,0
e7039ba32c40b3269bf408d251adf43b,719882688,32,1,2019-07-20 13:47:46 UTC,0,0,0
226bc6243a0768b6f63156160b07d26e,719060822,40,1,2019-07-20 01:05:58 UTC,0,0,0
226bc6243a0768b6f63156160b07d26e,720033255,40,1,2019-07-20 23:13:56 UTC,0,0,0
290cc798a52d267d41fbfe4ebe97f7ae,718778662,43,1,2019-07-19 09:26:28 UTC,0,0,0
25a096094a16e3e93e55469f809133de,718667640,29,1,2019-07-19 07:17:05 UTC,0,0,0
9b5a5782ede4f56a309b573232de5031,721122625,35,1,2019-07-22 03:39:24 UTC,0,0,0
ad0a58e497bbffd1b62f15989795a7d9,718960023,20,1,2019-07-19 16:59:42 UTC,0,0,0
94b9765464bec9d3c763e3851172092c,719915813,36,1,2019-07-20 15:15:00 UTC,0,0,0
73882e51b2a96635c5ed2ee7ee1b18a5,721502779,48,1,2019-07-22 10:27:29 UTC,0,0,0
6d5eade67057bab457681773a49ca2fe,721455366,47,1,2019-07-22 08:22:58 UTC,1,0,0
c39c2eeed1fd805216af32d8cce16729,720157472,27,0,2019-07-21 04:23:48 UTC,0,0,0
e63216b9a9206bea021802971e725d0c,719298766,29,1,2019-07-20 05:57:47 UTC,0,0,0
5cf8e5821d4d7880e651cd5b2750c8ce,720257843,34,0,2019-07-21 06:02:00 UTC,0,0,0
dd1ef3c8d1e0c47362e900f4108be6b4,718572075,22,0,2019-07-19 03:19:23 UTC,0,0,0
4c5f8bcead97c1df7d24064b4ce71f5f,720389636,37,1,2019-07-21 07:39:21 UTC,0,0,0
b9eeeaa890825aece813184f50284eb2,722032542,26,1,2019-07-23 15:57:41 UTC,0,0,0
